source_code,schema_name,table_name,column_name,column_name_cn,business_desc_cn,value_desc_cn,semantic_type,is_sensitive
ods_emr,MTL,EPR_INPATIENT_DOCINDEX,UHID,文档索引ID,关联 EPR_INPATIENT.UHID,关联 EPR_INPATIENT.UHID,标识字段,
ods_emr,MTL,EPR_INPATIENT_DOCINDEX,DELETEMARK,删除标记,NVL(DELETEMARK,0)=0 为有效记录,NVL(DELETEMARK,0)=0 为有效记录,代码/状态字段,
ods_emr,MTL,EPR_INPATIENT,UHID,文档索引ID,关联 DOCINDEX,关联 DOCINDEX,标识字段,
ods_emr,MTL,EPR_INPATIENT,ID,文档ID,=EMRSD_CONTENT.段落编号,=EMRSD_CONTENT.段落编号,标识字段,
ods_emr,MTL,EPR_INPATIENT,DOC_TYPE_NAME,文书类型名,如 '%入院记录%'，LIKE 匹配,如 '%入院记录%'，LIKE 匹配,文本字段,
ods_emr,MTL,EPR_INPATIENT,DOC_TITLE,文书标题,,,文本字段,
ods_emr,MTL,EPR_INPATIENT,DOC_CREATE_DATE,文书创建时间,,,时间字段,
ods_emr,MTL,EPR_INPATIENT,DELETEMARK,删除标记,NVL(DELETEMARK,0)=0 为有效记录,NVL(DELETEMARK,0)=0 为有效记录,代码/状态字段,
ods_emr,MTL,EMRSD_CONTENT,UHID,,,关联 EPR_INPATIENT.UHID,标识字段,
ods_emr,MTL,EMRSD_CONTENT,段落编号,段落编号,=EPR_INPATIENT.ID；中文列名按既有 asset_columns 原样,=EPR_INPATIENT.ID,标识字段,
ods_emr,MTL,EMRSD_CONTENT,段落内容,段落内容,CLOB，需 DBMS_LOB.SUBSTR(x,2000,1) 截取,CLOB，需 DBMS_LOB.SUBSTR(x,2000,1) 截取,文本字段,
ods_emr,JHEMR,JHMR_FILE_INDEX,PATIENT_ID,患者ID,,,标识字段,
ods_emr,JHEMR,JHMR_FILE_INDEX,VISIT_ID,住院次数,,,标识字段,
ods_emr,JHEMR,JHMR_FILE_INDEX,TOPIC,文书名称,如 '%入院记录%',如 '%入院记录%',文本字段,
ods_emr,JHEMR,JHMR_FILE_INDEX,CREATE_DATE_TIME,创建时间,,,时间字段,
ods_emr,JHEMR,JHMR_FILE_INDEX,FILE_UNIQUE_ID,文件唯一ID,关联 CONTENT_TEXT,关联 CONTENT_TEXT,标识字段,
ods_emr,JHEMR,JHMR_FILE_INDEX,DELETE_FLAG,删除标记,NVL(DELETE_FLAG,0)=0 有效,NVL(DELETE_FLAG,0)=0 有效,代码/状态字段,
ods_emr,JHEMR,JHMR_FILE_CONTENT_TEXT,FILE_UNIQUE_ID,文件唯一ID,关联 INDEX,关联 INDEX,标识字段,
ods_emr,JHEMR,JHMR_FILE_CONTENT_TEXT,MR_CONTENT,病历内容,CLOB，需 DBMS_LOB.SUBSTR 截取,CLOB，需 DBMS_LOB.SUBSTR 截取,文本字段,
ods_ydhl,YDHL,MCS_DOC_FORM,ASSESS_FORM_ID,评估表单ID,,,标识字段,
