relationship_id,source_db,from_table,from_columns,to_table,to_columns,join_condition,relationship_type,validation_status,validation_source,confidence
CAND0013,10.10.10.15:1521/his,DRUG_USER.INP_PATIENT_LOG,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,DRUG_USER.INP_PATIENT_LOG.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND DRUG_USER.INP_PATIENT_LOG.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0014,10.10.10.15:1521/his,DRUG_USER.OPS_PRESC_DATA,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,DRUG_USER.OPS_PRESC_DATA.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0015,10.10.10.15:1521/his,DRUG_USER.OPS_PRESC_DATA,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,DRUG_USER.OPS_PRESC_DATA.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND DRUG_USER.OPS_PRESC_DATA.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0016,10.10.10.15:1521/his,DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0017,10.10.10.15:1521/his,DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0018,10.10.10.15:1521/his,DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE,ORDER_NO+ORDER_SUB_NO,ORDADM.ORDERS,ORDER_NO+ORDER_SUB_NO,DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE.ORDER_NO=ORDADM.ORDERS.ORDER_NO AND DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE.ORDER_SUB_NO=ORDADM.ORDERS.ORDER_SUB_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0019,10.10.10.15:1521/his,EXAM.EXAM_APPOINTS,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,EXAM.EXAM_APPOINTS.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0020,10.10.10.15:1521/his,EXAM.EXAM_APPOINTS,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,EXAM.EXAM_APPOINTS.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND EXAM.EXAM_APPOINTS.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0021,10.10.10.15:1521/his,EXAM.EXAM_APPOINTS,EXAM_NO,EXAM.EXAM_MASTER,EXAM_NO,EXAM.EXAM_APPOINTS.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0022,10.10.10.15:1521/his,EXAM.EXAM_APPOINTS,RCPT_NO,OUTPBILL.OUTP_RCPT_MASTER,RCPT_NO,EXAM.EXAM_APPOINTS.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0023,10.10.10.15:1521/his,EXAM.EXAM_BILL_ITEMS,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,EXAM.EXAM_BILL_ITEMS.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0024,10.10.10.15:1521/his,EXAM.EXAM_BILL_ITEMS,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,EXAM.EXAM_BILL_ITEMS.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND EXAM.EXAM_BILL_ITEMS.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0025,10.10.10.15:1521/his,EXAM.EXAM_BILL_ITEMS,EXAM_NO,EXAM.EXAM_MASTER,EXAM_NO,EXAM.EXAM_BILL_ITEMS.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0026,10.10.10.15:1521/his,EXAM.EXAM_IMAGE_INDEX,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,EXAM.EXAM_IMAGE_INDEX.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0027,10.10.10.15:1521/his,EXAM.EXAM_IMAGE_INDEX,EXAM_NO,EXAM.EXAM_MASTER,EXAM_NO,EXAM.EXAM_IMAGE_INDEX.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0028,10.10.10.15:1521/his,EXAM.EXAM_INQUIRY,EXAM_NO,EXAM.EXAM_MASTER,EXAM_NO,EXAM.EXAM_INQUIRY.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0029,10.10.10.15:1521/his,EXAM.EXAM_ITEMS,EXAM_NO,EXAM.EXAM_MASTER,EXAM_NO,EXAM.EXAM_ITEMS.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0030,10.10.10.15:1521/his,EXAM.EXAM_MASTER,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,EXAM.EXAM_MASTER.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0031,10.10.10.15:1521/his,EXAM.EXAM_MASTER,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,EXAM.EXAM_MASTER.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND EXAM.EXAM_MASTER.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0032,10.10.10.15:1521/his,EXAM.EXAM_MASTER,RCPT_NO,OUTPBILL.OUTP_RCPT_MASTER,RCPT_NO,EXAM.EXAM_MASTER.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0033,10.10.10.15:1521/his,EXAM.EXAM_MASTER_NEWPACS,EXAM_NO,EXAM.EXAM_MASTER,EXAM_NO,EXAM.EXAM_MASTER_NEWPACS.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0034,10.10.10.15:1521/his,EXAM.EXAM_PAT_MI,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,EXAM.EXAM_PAT_MI.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0035,10.10.10.15:1521/his,EXAM.EXAM_REPORT,EXAM_NO,EXAM.EXAM_MASTER,EXAM_NO,EXAM.EXAM_REPORT.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0036,10.10.10.15:1521/his,EXAM.EXAM_SCHEDULE,EXAM_NO,EXAM.EXAM_MASTER,EXAM_NO,EXAM.EXAM_SCHEDULE.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0037,10.10.10.15:1521/his,EXAM.EXAM_SHARINGCENTER_MASTER,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,EXAM.EXAM_SHARINGCENTER_MASTER.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0038,10.10.10.15:1521/his,EXAM.EXAM_SHARINGCENTER_MASTER,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,EXAM.EXAM_SHARINGCENTER_MASTER.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND EXAM.EXAM_SHARINGCENTER_MASTER.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0039,10.10.10.15:1521/his,EXAM.TREAT_APPOINT,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,EXAM.TREAT_APPOINT.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0040,10.10.10.15:1521/his,EXAM.TREAT_APPOINT,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,EXAM.TREAT_APPOINT.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND EXAM.TREAT_APPOINT.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0041,10.10.10.15:1521/his,EXAM.TREAT_APPOINT,RCPT_NO,OUTPBILL.OUTP_RCPT_MASTER,RCPT_NO,EXAM.TREAT_APPOINT.RCPT_NO=OUTPBILL.OUTP_RCPT_MASTER.RCPT_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0042,10.10.10.15:1521/his,EXAM.TREAT_ITEMS,EXAM_NO,EXAM.EXAM_MASTER,EXAM_NO,EXAM.TREAT_ITEMS.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO,name_inferred_candidate,candidate,column_name_pattern,C
CAND0043,10.10.10.15:1521/his,INPADM.ADT_LOG,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.ADT_LOG.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0044,10.10.10.15:1521/his,INPADM.ADT_LOG,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.ADT_LOG.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.ADT_LOG.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0045,10.10.10.15:1521/his,INPADM.ADT_LOG_BACKUP2025,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.ADT_LOG_BACKUP2025.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0046,10.10.10.15:1521/his,INPADM.ADT_LOG_BACKUP2025,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.ADT_LOG_BACKUP2025.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.ADT_LOG_BACKUP2025.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0047,10.10.10.15:1521/his,INPADM.ADT_LOG_C0525325,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.ADT_LOG_C0525325.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0048,10.10.10.15:1521/his,INPADM.ADT_LOG_C0525325,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.ADT_LOG_C0525325.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.ADT_LOG_C0525325.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0049,10.10.10.15:1521/his,INPADM.BED_REC,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.BED_REC.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0050,10.10.10.15:1521/his,INPADM.BED_TRANS_LOG,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.BED_TRANS_LOG.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0051,10.10.10.15:1521/his,INPADM.BED_TRANS_LOG,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.BED_TRANS_LOG.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.BED_TRANS_LOG.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0052,10.10.10.15:1521/his,INPADM.BED_TRANS_LOG_BACKUP2025,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.BED_TRANS_LOG_BACKUP2025.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0053,10.10.10.15:1521/his,INPADM.BED_TRANS_LOG_BACKUP2025,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.BED_TRANS_LOG_BACKUP2025.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.BED_TRANS_LOG_BACKUP2025.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0054,10.10.10.15:1521/his,INPADM.BED_TRANS_LOG_C0525325,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.BED_TRANS_LOG_C0525325.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0055,10.10.10.15:1521/his,INPADM.BED_TRANS_LOG_C0525325,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.BED_TRANS_LOG_C0525325.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.BED_TRANS_LOG_C0525325.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0056,10.10.10.15:1521/his,INPADM.CEQ$PATS_IN_HOSPITAL,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.CEQ$PATS_IN_HOSPITAL.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0057,10.10.10.15:1521/his,INPADM.CEQ$PATS_IN_HOSPITAL,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.CEQ$PATS_IN_HOSPITAL.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.CEQ$PATS_IN_HOSPITAL.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0058,10.10.10.15:1521/his,INPADM.CLG$PATS_IN_HOSPITAL,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.CLG$PATS_IN_HOSPITAL.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0059,10.10.10.15:1521/his,INPADM.CVR$PATS_IN_HOSPITAL,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.CVR$PATS_IN_HOSPITAL.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0060,10.10.10.15:1521/his,INPADM.ERROR_LOG,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.ERROR_LOG.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0061,10.10.10.15:1521/his,INPADM.LEND_BED_LOG,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.LEND_BED_LOG.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0062,10.10.10.15:1521/his,INPADM.LEND_BED_LOG,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.LEND_BED_LOG.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.LEND_BED_LOG.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0063,10.10.10.15:1521/his,INPADM.MEDICAL_QC_LOG,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.MEDICAL_QC_LOG.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0064,10.10.10.15:1521/his,INPADM.MEDICAL_QC_LOG,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.MEDICAL_QC_LOG.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.MEDICAL_QC_LOG.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0065,10.10.10.15:1521/his,INPADM.MEDICAL_QC_MSG,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.MEDICAL_QC_MSG.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0066,10.10.10.15:1521/his,INPADM.MEDICAL_QC_MSG,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.MEDICAL_QC_MSG.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.MEDICAL_QC_MSG.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0067,10.10.10.15:1521/his,INPADM.ORDERS_GROUP_REC,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.ORDERS_GROUP_REC.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0068,10.10.10.15:1521/his,INPADM.ORDERS_GROUP_REC,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.ORDERS_GROUP_REC.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.ORDERS_GROUP_REC.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0069,10.10.10.15:1521/his,INPADM.PATS_IN_HOSPITAL,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.PATS_IN_HOSPITAL.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0070,10.10.10.15:1521/his,INPADM.PATS_IN_HOSPITAL,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.PATS_IN_HOSPITAL.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.PATS_IN_HOSPITAL.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0071,10.10.10.15:1521/his,INPADM.PATS_IN_HOSPITAL_BACKUP2025,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.PATS_IN_HOSPITAL_BACKUP2025.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0072,10.10.10.15:1521/his,INPADM.PATS_IN_HOSPITAL_BACKUP2025,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.PATS_IN_HOSPITAL_BACKUP2025.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.PATS_IN_HOSPITAL_BACKUP2025.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0073,10.10.10.15:1521/his,INPADM.PATS_IN_HOSPITAL_BK,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.PATS_IN_HOSPITAL_BK.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0074,10.10.10.15:1521/his,INPADM.PATS_IN_HOSPITAL_BK,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.PATS_IN_HOSPITAL_BK.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.PATS_IN_HOSPITAL_BK.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0075,10.10.10.15:1521/his,INPADM.PATS_IN_HOSPITAL_C0525325,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.PATS_IN_HOSPITAL_C0525325.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0076,10.10.10.15:1521/his,INPADM.PATS_IN_HOSPITAL_C0525325,PATIENT_ID+VISIT_ID,MEDREC.PAT_VISIT,PATIENT_ID+VISIT_ID,INPADM.PATS_IN_HOSPITAL_C0525325.PATIENT_ID=MEDREC.PAT_VISIT.PATIENT_ID AND INPADM.PATS_IN_HOSPITAL_C0525325.VISIT_ID=MEDREC.PAT_VISIT.VISIT_ID,name_inferred_candidate,candidate,column_name_pattern,C
CAND0077,10.10.10.15:1521/his,INPADM.PATS_IN_HOSPITAL_TEST,PATIENT_ID,MEDREC.PAT_MASTER_INDEX,PATIENT_ID,INPADM.PATS_IN_HOSPITAL_TEST.PATIENT_ID=MEDREC.PAT_MASTER_INDEX.PATIENT_ID,name_inferred_candidate,candidate,column_name_pattern,C
