系统,库名,表名,业务对象,候选主键,总数,去重数,重复数,空值数,是否可作为主键,是否可跨系统关联,风险说明
HIS_SOURCE,his_ready_10_10_15,COMM.DRUG_CHAXUN1_FANCY1,药品,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.DRUG_CHAXUN1_FANCY2,药品,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.DRUG_DICT,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.DRUG_HIS_VS_HLW,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.DRUG_INFO,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.DRUG_LIMIT,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.DRUG_LIST,药品,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.DRUG_NAME_DICT,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.DRUG_PRICE_LIST,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.DRUG_PRICE_LIST_TJ,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.DRUG_RATIONAL_DOSAGE,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.EXP_CHAXUN1,材料字典,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.EXP_CHAXUN1_FANCY,材料字典,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.EXP_CHAXUN2,材料字典,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.EXP_CHAXUN3,材料字典,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.EXP_CHAXUN4,材料字典,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.EXP_CHAXUN5,材料字典,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.EXP_CHAXUN6,材料字典,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.EXP_CHAXUN7,材料字典,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.HIS_VS_BJYB_CATALOG,标准映射表,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.INFECTIOUS_DIAGNOSIS_DICT,诊断,PATIENT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.INFECTIOUS_DIAGNOSIS_DICT,诊断,PATIENT_ID+VISIT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.INFECTIOUS_DIAGNOSIS_DICT,诊断,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.INPUT_CODE_DICT,住院就诊,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.INP_ITEM_BATCH_DICT,住院就诊,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.KFQYBBM,标准映射表,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.LAB_ITEM_VS_CLASS,检验,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.LAB_REPORT_ITEM_DICT,检验,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.LAB_REPORT_VS_ORDER,医嘱,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.LAB_REPORT_VS_ORDER,医嘱,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.NURSE_TEMPERATURE_ITEM_DICT,护理,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.OFFICIAL_DRUG_CATALOG,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.OUTER_CODE_DICT,标准映射表,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.PERFORM_DEPT,科室字典,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.PRICE_ITEM_NAME_DICT,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.PRICE_ITEM_NAME_DICT2,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.PRICE_ITEM_NAME_DICT_20250630,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.PRICE_LIST,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.PRICE_LIST_20250630,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.PRICE_LIST_20260121,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.PRICE_LIST_LOG,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.PRICE_LIST_STOP_20210520,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.PRICE_LIST_X,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.PRICE_LIST_X1,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.ROOM_DICT,标准映射表,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.SPARE_MEDICINES_DICT,标准映射表,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.SPECIMAN_DICT,标准映射表,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.STAFF_DICT,人员字典,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.STAFF_DICT_20231206,人员字典,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.STAFF_DICT_BAK,人员字典,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.STAFF_DICT_BAK_2,人员字典,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.STAFF_GROUP_DICT,人员字典,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.STAFF_RESPON_GROUP,人员字典,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.TENDER_DRUG_DICT,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.TJHIS_MESSAGE_DEPT_RECEIVE,护理,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.T_JIXIAO_PROJECT,标准映射表,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.USERS_BACK,人员字典,USER_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.USERS_BAK,人员字典,USER_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.YIBAO,标准映射表,PATIENT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.YIBAO,标准映射表,PATIENT_ID+VISIT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.ZZ_DRUG_DICT_NEW,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.ZZ_PRICE_LIST,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,COMM.ZZ_PRICE_LIST_S,费用收费,ITEM_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.2025-07-17MED_DICT_PRICE,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.20260325MED_DICT_BASEINFO,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.6.30MED_DICT_BASEINFO,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.6.30MED_DICT_PRICE,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.DRUG_EXPORT_DETAIL,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.DRUG_IMPORT_DETAIL,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.DRUG_YPID,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.DS_EXCLOUD_DRUG,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.GJZXBZDW,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.INP_ORDER_EXECDATA,住院就诊,PATIENT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.INP_ORDER_EXECDATA,住院就诊,PATIENT_ID+VISIT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.INP_ORDER_EXECDATA,住院就诊,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.INP_ORDER_EXECDATA,住院就诊,ORDER_NO+ORDER_SUB_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.INP_ORDER_EXECDATA,住院就诊,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.INP_PATIENT_LOG,患者主索引,PATIENT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.INP_PATIENT_LOG,患者主索引,PATIENT_ID+VISIT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.MED_DICT_BASEINFO,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.MED_DICT_DEPT,药品,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.MED_DICT_PRICE,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.MED_DICT_PRICE_20250822,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.MED_DICT_PRICE_20250826,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.MED_DICT_PRICE_20260616,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.MED_INIT_ACCOUNT,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.OPS_PRESC_DATA,处方,PATIENT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.OPS_PRESC_DATA,处方,PATIENT_ID+VISIT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.OPS_PRESC_DATA,处方,PRESC_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.OPS_PRESC_DATA,处方,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_ALLOCAT_MASTER,药品,REQUEST_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_ALOOCAT_DETAIL,药品,REQUEST_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_CLI_REQUEST_DRUG,门诊就诊,PRESC_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_CLI_REQUEST_DRUG,门诊就诊,REQUEST_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_CLI_REQUEST_DRUG,门诊就诊,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_INIT_ACCOUNT,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_INIT_ACCOUNT_copy1,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_INP_DISPDETAIL,住院就诊,REQUEST_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_INP_DISPMASTER,住院就诊,REQUEST_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_INP_REQUEST_DRUG,住院就诊,REQUEST_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_INP_REQUEST_DRUG,住院就诊,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE,住院就诊,PATIENT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE,住院就诊,PATIENT_ID+VISIT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE,住院就诊,PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE,住院就诊,ORDER_NO+ORDER_SUB_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_INP_REQUEST_DRUG_DISPDATE,住院就诊,REQUEST_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_MEDICAL_ADVICE_REVIEW,药品,REQUEST_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_MEDICAL_ADVICE_REVIEW,药品,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_SPECIAL_DRUG_REVIEW,药品,PRESC_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_SPECIAL_DRUG_REVIEW,药品,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_VISIT_DISPDETAIL,门诊就诊,PRESC_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_VISIT_DISPDETAIL,门诊就诊,USER_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.PHA_VISIT_DISPMASTER,药品,PRESC_NO,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.TEMP_DRUG_INFO,药品,DRUG_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.TMP_PREV_YEAR_STAT,药品,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,DRUG_USER.VIEW_DEBUG_LOG,药品,DEPT_CODE,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,EXAM.EXAM_APPOINTS,检查,PATIENT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
HIS_SOURCE,his_ready_10_10_15,EXAM.EXAM_APPOINTS,检查,PATIENT_ID+VISIT_ID,,,,,待验证,待验证,需结合唯一性、空值率和业务含义验证
